n_obs,d,mu_norm,equal_space_mu,B,sim,alpha,p_0,test_stat,reject
100,1,1,0,100,164,0.1,0.5,"",0
100,1,1,0,100,165,0.1,0.5,"",0
100,1,1,0,100,166,0.1,0.5,"",0
100,1,1,0,100,167,0.1,0.5,"",0
100,1,1,0,100,168,0.1,0.5,"",0
100,1,1,0,100,169,0.1,0.5,"",0
100,1,1,0,100,170,0.1,0.5,"",0
100,1,1,0,100,171,0.1,0.5,"",0
100,1,1,0,100,172,0.1,0.5,"",0
100,1,1,0,100,173,0.1,0.5,"",0
100,1,1,0,100,174,0.1,0.5,"",0
100,1,1,0,100,175,0.1,0.5,"",0
100,1,1,0,100,176,0.1,0.5,"",0
100,1,1,0,100,177,0.1,0.5,"",0
100,1,1,0,100,178,0.1,0.5,"",0
100,1,1,0,100,179,0.1,0.5,"",0
100,1,1,0,100,180,0.1,0.5,"",0
100,1,1,0,100,181,0.1,0.5,"",0
100,1,1,0,100,182,0.1,0.5,"",0
100,1,1,0,100,183,0.1,0.5,"",0
100,1,1,0,100,184,0.1,0.5,"",0
100,1,1,0,100,185,0.1,0.5,"",0
100,1,1,0,100,186,0.1,0.5,"",0
100,1,1,0,100,187,0.1,0.5,"",0
100,1,1,0,100,188,0.1,0.5,"",0
100,1,1,0,100,189,0.1,0.5,"",0
100,1,1,0,100,190,0.1,0.5,"",0
100,1,1,0,100,191,0.1,0.5,"",0
100,1,1,0,100,192,0.1,0.5,"",0
100,1,1,0,100,193,0.1,0.5,"",0
100,1,1,0,100,194,0.1,0.5,"",0
100,1,1,0,100,195,0.1,0.5,"",0
100,1,1,0,100,196,0.1,0.5,"",0
100,1,1,0,100,197,0.1,0.5,"",0
100,1,1,0,100,198,0.1,0.5,"",0
100,1,1,0,100,199,0.1,0.5,"",0
100,1,1,0,100,200,0.1,0.5,"",0
100,1,2,0,100,1,0.1,0.5,"",0
100,1,2,0,100,2,0.1,0.5,"",0
100,1,2,0,100,3,0.1,0.5,"",0
100,1,2,0,100,4,0.1,0.5,"",0
100,1,2,0,100,5,0.1,0.5,"",0
