n_obs,d,sim,alpha_param,beta_param,B,test_stat,reject
100,1,95,0.2,0.5,100,7.1023621651568e+37,1
100,1,96,0.2,0.5,100,3.12677028933712e+44,1
100,1,97,0.2,0.5,100,2.918393243411e+38,1
100,1,98,0.2,0.5,100,6.06747401915704e+44,1
100,1,99,0.2,0.5,100,4.97113101061752e+40,1
100,1,100,0.2,0.5,100,5.5627392979061e+43,1
100,1,101,0.2,0.5,100,2.2428901529341e+44,1
100,1,102,0.2,0.5,100,2.41044690010524e+54,1
100,1,103,0.2,0.5,100,1.83865584501753e+67,1
100,1,104,0.2,0.5,100,7.80675644509665e+51,1
100,1,105,0.2,0.5,100,1.17495446914151e+49,1
100,1,106,0.2,0.5,100,7.10059704468664e+53,1
100,1,107,0.2,0.5,100,2.93258027763531e+45,1
100,1,108,0.2,0.5,100,2.97412511563115e+36,1
100,1,109,0.2,0.5,100,8.03913745139791e+38,1
100,1,110,0.2,0.5,100,4.18762558723949e+40,1
100,1,111,0.2,0.5,100,2.5974877298454e+42,1
100,1,112,0.2,0.5,100,3.4355466536197e+50,1
100,1,113,0.2,0.5,100,2.4226784264544e+31,1
100,1,114,0.2,0.5,100,1.70570961437134e+48,1
100,1,115,0.2,0.5,100,4.54741594322277e+34,1
100,1,116,0.2,0.5,100,7.8855559059575e+52,1
100,1,117,0.2,0.5,100,5.0159205346894e+45,1
100,1,118,0.2,0.5,100,3.36684466924772e+48,1
100,1,119,0.2,0.5,100,5.08349914085789e+45,1
100,1,120,0.2,0.5,100,1.25192529669061e+47,1
100,1,121,0.2,0.5,100,6.27404687411224e+42,1
100,1,122,0.2,0.5,100,2.84395980091664e+52,1
100,1,123,0.2,0.5,100,1.35160718982077e+42,1
100,1,124,0.2,0.5,100,7.73280438937138e+34,1
100,1,125,0.2,0.5,100,4.83540161295289e+59,1
100,1,126,0.2,0.5,100,1.96424671355742e+42,1
100,1,127,0.2,0.5,100,3.63902191968773e+51,1
100,1,128,0.2,0.5,100,1.51907763556759e+33,1
100,1,129,0.2,0.5,100,2.44329763683454e+38,1
100,1,130,0.2,0.5,100,2.4514208903277e+40,1
100,1,131,0.2,0.5,100,2.35755298459551e+40,1
100,1,132,0.2,0.5,100,7.37707852562611e+27,1
100,1,133,0.2,0.5,100,5.03434108239894e+50,1
100,1,134,0.2,0.5,100,5.52563708308721e+37,1
100,1,135,0.2,0.5,100,7.035805248079e+31,1
100,1,136,0.2,0.5,100,7.89276785352756e+50,1
100,1,137,0.2,0.5,100,1.34645203335586e+28,1
100,1,138,0.2,0.5,100,2.15020204328412e+40,1
100,1,139,0.2,0.5,100,8.64182347036315e+35,1
100,1,140,0.2,0.5,100,9.08564908751842e+67,1
100,1,141,0.2,0.5,100,3.85236532625506e+32,1
100,1,142,0.2,0.5,100,1.01193397686237e+38,1
100,1,143,0.2,0.5,100,6.06859181885741e+36,1
100,1,144,0.2,0.5,100,2.99900835463521e+44,1
100,1,145,0.2,0.5,100,2.07740614570337e+52,1
100,1,146,0.2,0.5,100,5.4522045426178e+40,1
100,1,147,0.2,0.5,100,1.51860007662966e+65,1
100,1,148,0.2,0.5,100,4.73551348043661e+42,1
100,1,149,0.2,0.5,100,2.00988463381602e+44,1
100,1,150,0.2,0.5,100,4.65612072411585e+35,1
100,1,151,0.2,0.5,100,1.51351816656881e+36,1
100,1,152,0.2,0.5,100,7.24984136705476e+46,1
100,1,153,0.2,0.5,100,8.94043370150598e+51,1
100,1,154,0.2,0.5,100,9.88053012261048e+35,1
100,1,155,0.2,0.5,100,4.36545009686146e+58,1
100,1,156,0.2,0.5,100,1.15677310370852e+40,1
100,1,157,0.2,0.5,100,2.41522131560091e+56,1
100,1,158,0.2,0.5,100,1.1477531909102e+49,1
100,1,159,0.2,0.5,100,4.84995782263943e+46,1
100,1,160,0.2,0.5,100,3.01743945653559e+49,1
100,1,161,0.2,0.5,100,1.92950604878497e+58,1
100,1,162,0.2,0.5,100,4.1339935848639e+47,1
100,1,163,0.2,0.5,100,2.43747258054527e+46,1
100,1,164,0.2,0.5,100,1.17526540669101e+51,1
100,1,165,0.2,0.5,100,4.26780934590375e+41,1
100,1,166,0.2,0.5,100,1.00312762177044e+30,1
100,1,167,0.2,0.5,100,4.24266080106797e+30,1
100,1,168,0.2,0.5,100,8.51225817885884e+45,1
100,1,169,0.2,0.5,100,2.19544055376729e+40,1
100,1,170,0.2,0.5,100,1.25107131019465e+39,1
100,1,171,0.2,0.5,100,4.41259924744839e+35,1
100,1,172,0.2,0.5,100,2.39661587461524e+58,1
100,1,173,0.2,0.5,100,6.39674473690674e+36,1
100,1,174,0.2,0.5,100,1.2281497974082e+52,1
100,1,175,0.2,0.5,100,2.88995979876102e+39,1
100,1,176,0.2,0.5,100,6.88919117360634e+57,1
100,1,177,0.2,0.5,100,9.75448921241804e+39,1
100,1,178,0.2,0.5,100,1.46523399194401e+40,1
100,1,179,0.2,0.5,100,1.45405990051971e+58,1
100,1,180,0.2,0.5,100,4.60361999301279e+45,1
100,1,181,0.2,0.5,100,1.97851191602784e+36,1
100,1,182,0.2,0.5,100,9.11467020717493e+30,1
100,1,183,0.2,0.5,100,1.50343062759277e+50,1
100,1,184,0.2,0.5,100,1.01814782797175e+32,1
100,1,185,0.2,0.5,100,1.43808581196366e+38,1
100,1,186,0.2,0.5,100,8.49856471765614e+56,1
100,1,187,0.2,0.5,100,6.25379660084269e+60,1
100,1,188,0.2,0.5,100,8.39270406528093e+39,1
100,1,189,0.2,0.5,100,2.69544681696994e+41,1
100,1,190,0.2,0.5,100,3.81501730501684e+48,1
100,1,191,0.2,0.5,100,1.24732802927094e+33,1
100,1,192,0.2,0.5,100,2.1124787186659e+46,1
100,1,193,0.2,0.5,100,1.07409919612704e+36,1
100,1,194,0.2,0.5,100,2.48964011629904e+48,1
100,1,195,0.2,0.5,100,4.67002031134517e+43,1
100,1,196,0.2,0.5,100,3.12607136240124e+41,1
100,1,197,0.2,0.5,100,2.45515299630904e+28,1
100,1,198,0.2,0.5,100,4.1983624413629e+28,1
100,1,199,0.2,0.5,100,6.1880680467418e+44,1
100,1,200,0.2,0.5,100,3.32555352890615e+45,1
100,1,1,0.3,0.5,100,77387497294631.9,1
100,1,2,0.3,0.5,100,2498289854854040000,1
100,1,3,0.3,0.5,100,341853394807044,1
100,1,4,0.3,0.5,100,4.51286691919692e+21,1
100,1,5,0.3,0.5,100,4588946736167790,1
100,1,6,0.3,0.5,100,2.26984913994202e+24,1
100,1,7,0.3,0.5,100,6087243337453.52,1
100,1,8,0.3,0.5,100,32348023111197600000,1
100,1,9,0.3,0.5,100,8.01999625178689e+26,1
100,1,10,0.3,0.5,100,1.47267853041928e+27,1
100,1,11,0.3,0.5,100,753485857462660,1
100,1,12,0.3,0.5,100,18269208085275200000,1
100,1,13,0.3,0.5,100,1.41204616405676e+22,1
100,1,14,0.3,0.5,100,34517188897343400,1
100,1,15,0.3,0.5,100,8863667065049640000,1
100,1,16,0.3,0.5,100,6.80547838635601e+27,1
100,1,17,0.3,0.5,100,37757334972412200,1
100,1,18,0.3,0.5,100,478602964668261000,1
100,1,19,0.3,0.5,100,3581884674525,1
100,1,20,0.3,0.5,100,246950666533766,1
100,1,21,0.3,0.5,100,8248994700616210000,1
100,1,22,0.3,0.5,100,6580141827472660,1
100,1,23,0.3,0.5,100,3651324238299240000,1
100,1,24,0.3,0.5,100,331204245973561000,1
100,1,25,0.3,0.5,100,31361029438209.4,1
100,1,26,0.3,0.5,100,1.63186154352531e+20,1
100,1,27,0.3,0.5,100,887116007153.351,1
100,1,28,0.3,0.5,100,92496962536100900000,1
100,1,29,0.3,0.5,100,37315403969441200,1
100,1,30,0.3,0.5,100,134145647370.01,1
100,1,31,0.3,0.5,100,1.1917312960774e+27,1
100,1,32,0.3,0.5,100,2.38950643617362e+21,1
100,1,33,0.3,0.5,100,54838128384479200000,1
100,1,34,0.3,0.5,100,58822277585436.7,1
100,1,35,0.3,0.5,100,138413983.779996,1
100,1,36,0.3,0.5,100,2.93767633722582e+23,1
100,1,37,0.3,0.5,100,23929162298353100000,1
100,1,38,0.3,0.5,100,1.112734492228e+18,1
100,1,39,0.3,0.5,100,175979213675.284,1
100,1,40,0.3,0.5,100,5.83273070700811e+20,1
100,1,41,0.3,0.5,100,291057287449073000,1
100,1,42,0.3,0.5,100,2.16872417494989e+22,1
100,1,43,0.3,0.5,100,5.60563435566881e+38,1
100,1,44,0.3,0.5,100,2833146830310320,1
100,1,45,0.3,0.5,100,158368328669281000,1
100,1,46,0.3,0.5,100,6598350277663030,1
100,1,47,0.3,0.5,100,107655490699.129,1
100,1,48,0.3,0.5,100,6.86366104418446e+26,1
100,1,49,0.3,0.5,100,7.82198130499905e+24,1
100,1,50,0.3,0.5,100,788133496898478000,1
100,1,51,0.3,0.5,100,51193003775604200000,1
100,1,52,0.3,0.5,100,1.58012086358951e+28,1
100,1,53,0.3,0.5,100,9507636979612.08,1
100,1,54,0.3,0.5,100,5.73114324941493e+24,1
100,1,55,0.3,0.5,100,242528769990002,1
100,1,56,0.3,0.5,100,84816762322885.8,1
100,1,57,0.3,0.5,100,1297724690320040000,1
100,1,58,0.3,0.5,100,838956848589078,1
100,1,59,0.3,0.5,100,4749414.47555665,1
100,1,60,0.3,0.5,100,1.75308077198256e+20,1
100,1,61,0.3,0.5,100,1022191859033890,1
100,1,62,0.3,0.5,100,102300055220382000,1
100,1,63,0.3,0.5,100,1.61082606986757e+36,1
100,1,64,0.3,0.5,100,2.1173320724689e+19,1
100,1,65,0.3,0.5,100,91859353595660100,1
100,1,66,0.3,0.5,100,1.46664787176266e+26,1
100,1,67,0.3,0.5,100,4106234097002520,1
100,1,68,0.3,0.5,100,13299291058459.9,1
100,1,69,0.3,0.5,100,3.05475759745963e+23,1
100,1,70,0.3,0.5,100,6859670607627620000,1
100,1,71,0.3,0.5,100,15658496921750100,1
100,1,72,0.3,0.5,100,6868223286051360,1
100,1,73,0.3,0.5,100,266943246873616,1
100,1,74,0.3,0.5,100,4473844205851950000,1
100,1,75,0.3,0.5,100,1933126764086070000,1
100,1,76,0.3,0.5,100,2.87354285984964e+26,1
100,1,77,0.3,0.5,100,13395949315289900000,1
100,1,78,0.3,0.5,100,6.24815017274324e+20,1
100,1,79,0.3,0.5,100,153434966400.501,1
100,1,80,0.3,0.5,100,1.2147784230914e+21,1
100,1,81,0.3,0.5,100,1.08755017244511e+29,1
100,1,82,0.3,0.5,100,541851588210257,1
100,1,83,0.3,0.5,100,6.07819213620927e+23,1
100,1,84,0.3,0.5,100,21655200365265700,1
100,1,85,0.3,0.5,100,1.0447497697318e+25,1
100,1,86,0.3,0.5,100,1.96945262745855e+21,1
