n_obs,d,sim,alpha_param,beta_param,B,test_stat,reject
100,1,75,0.2,0.5,100,6.82240964835648e+34,1
100,1,76,0.2,0.5,100,3.35896829771992e+28,1
100,1,77,0.2,0.5,100,2.13433892151103e+30,1
100,1,78,0.2,0.5,100,1.67381974023358e+23,1
100,1,79,0.2,0.5,100,4.48398916271184e+35,1
100,1,80,0.2,0.5,100,4.9435990448088e+24,1
100,1,81,0.2,0.5,100,5.55142771614059e+33,1
100,1,82,0.2,0.5,100,37195673973023800,1
100,1,83,0.2,0.5,100,1.85981452033397e+31,1
100,1,84,0.2,0.5,100,2.49130913680307e+21,1
100,1,85,0.2,0.5,100,3.21530724782107e+31,1
100,1,86,0.2,0.5,100,1.40895600459912e+36,1
100,1,87,0.2,0.5,100,2.77710003194594e+30,1
100,1,88,0.2,0.5,100,4.67802672779294e+30,1
100,1,89,0.2,0.5,100,7.22174493226218e+38,1
100,1,90,0.2,0.5,100,3.81003595563401e+30,1
100,1,91,0.2,0.5,100,1.19992489365695e+27,1
100,1,92,0.2,0.5,100,5.60500257385197e+31,1
100,1,93,0.2,0.5,100,1.01269131859452e+31,1
100,1,94,0.2,0.5,100,3.46061371013372e+29,1
100,1,95,0.2,0.5,100,7.29506820364446e+34,1
100,1,96,0.2,0.5,100,4.2316897518167e+22,1
100,1,97,0.2,0.5,100,8.70918941135867e+24,1
100,1,98,0.2,0.5,100,2.06351607736024e+34,1
100,1,99,0.2,0.5,100,4.472547133987e+37,1
100,1,100,0.2,0.5,100,6.44673391512185e+39,1
100,1,101,0.2,0.5,100,2.6049845222866e+29,1
100,1,102,0.2,0.5,100,7.16254189987732e+25,1
100,1,103,0.2,0.5,100,5.60504815903841e+20,1
100,1,104,0.2,0.5,100,1.64933792497079e+26,1
100,1,105,0.2,0.5,100,1.25649703199281e+25,1
100,1,106,0.2,0.5,100,1.75708648998098e+26,1
100,1,107,0.2,0.5,100,9.03232650770297e+25,1
100,1,108,0.2,0.5,100,1.71112154082619e+37,1
100,1,109,0.2,0.5,100,21049978959627100000,1
100,1,110,0.2,0.5,100,7.60251425239212e+24,1
100,1,111,0.2,0.5,100,1.34375476219753e+35,1
100,1,112,0.2,0.5,100,9.52422988122457e+34,1
100,1,113,0.2,0.5,100,1.2561443464507e+31,1
100,1,114,0.2,0.5,100,6.45917186242572e+29,1
100,1,115,0.2,0.5,100,4.38589477965631e+20,1
100,1,116,0.2,0.5,100,2.97262539549564e+41,1
100,1,117,0.2,0.5,100,5.10410897324629e+33,1
100,1,118,0.2,0.5,100,2.40197355492496e+34,1
100,1,119,0.2,0.5,100,3.33504234189203e+33,1
100,1,120,0.2,0.5,100,4.3078987550383e+24,1
100,1,121,0.2,0.5,100,1.7074876659132e+25,1
100,1,122,0.2,0.5,100,3.07990130352325e+26,1
100,1,123,0.2,0.5,100,3.61948163692147e+35,1
100,1,124,0.2,0.5,100,4.34810653483454e+26,1
100,1,125,0.2,0.5,100,7.97395329450293e+25,1
100,1,126,0.2,0.5,100,5.59791629161688e+21,1
100,1,127,0.2,0.5,100,9.77647668212599e+31,1
100,1,128,0.2,0.5,100,4.66053806596812e+31,1
100,1,129,0.2,0.5,100,2.42255160528723e+23,1
100,1,130,0.2,0.5,100,1.94927484593001e+28,1
100,1,131,0.2,0.5,100,2.19061030134108e+22,1
100,1,132,0.2,0.5,100,1.71541340455653e+28,1
100,1,133,0.2,0.5,100,3.41367378636737e+30,1
100,1,134,0.2,0.5,100,3.68410821177561e+30,1
100,1,135,0.2,0.5,100,1.86840730448048e+21,1
100,1,136,0.2,0.5,100,5.73582925122913e+24,1
100,1,137,0.2,0.5,100,2.78359920839137e+26,1
100,1,138,0.2,0.5,100,5.93447205932663e+30,1
100,1,139,0.2,0.5,100,1.18097168237703e+37,1
100,1,140,0.2,0.5,100,3.92807725083025e+32,1
100,1,141,0.2,0.5,100,3.67051781411448e+23,1
100,1,142,0.2,0.5,100,2.95164095735405e+33,1
100,1,143,0.2,0.5,100,5.46128288626452e+28,1
100,1,144,0.2,0.5,100,2.24951087309566e+26,1
100,1,145,0.2,0.5,100,3.7603239208695e+20,1
100,1,146,0.2,0.5,100,2.79161252062065e+35,1
100,1,147,0.2,0.5,100,3.22072445163829e+26,1
100,1,148,0.2,0.5,100,4.40119623392245e+29,1
100,1,149,0.2,0.5,100,2.55526942845701e+25,1
100,1,150,0.2,0.5,100,1.01635743635679e+22,1
100,1,151,0.2,0.5,100,5.70535861096148e+31,1
100,1,152,0.2,0.5,100,1.51885247207847e+31,1
100,1,153,0.2,0.5,100,2.07927543683906e+27,1
100,1,154,0.2,0.5,100,1.3855352249264e+29,1
100,1,155,0.2,0.5,100,2.91779312677232e+32,1
100,1,156,0.2,0.5,100,3.71691624200628e+35,1
100,1,157,0.2,0.5,100,9.54571120977101e+35,1
100,1,158,0.2,0.5,100,3.69002147984182e+31,1
100,1,159,0.2,0.5,100,4.52561289790011e+25,1
100,1,160,0.2,0.5,100,2.50144998706269e+26,1
100,1,161,0.2,0.5,100,2.76688313059738e+28,1
100,1,162,0.2,0.5,100,2.07171107398227e+35,1
100,1,163,0.2,0.5,100,3.98774646766843e+27,1
100,1,164,0.2,0.5,100,7.67611393082452e+33,1
100,1,165,0.2,0.5,100,2.5906569092566e+30,1
100,1,166,0.2,0.5,100,1.77224127781501e+34,1
100,1,167,0.2,0.5,100,2.86330108275782e+39,1
100,1,168,0.2,0.5,100,45103107680843500000,1
100,1,169,0.2,0.5,100,5.81849883153133e+39,1
100,1,170,0.2,0.5,100,18971134023621200000,1
100,1,171,0.2,0.5,100,1.79962798958783e+27,1
100,1,172,0.2,0.5,100,1.38553754752997e+26,1
100,1,173,0.2,0.5,100,7.31405685994282e+23,1
100,1,174,0.2,0.5,100,1.30586955401471e+27,1
100,1,175,0.2,0.5,100,2.44165555410614e+26,1
100,1,176,0.2,0.5,100,6.34447863042724e+28,1
100,1,177,0.2,0.5,100,3.86905255585385e+32,1
100,1,178,0.2,0.5,100,1.91629159583711e+30,1
100,1,179,0.2,0.5,100,3.87465183936551e+31,1
100,1,180,0.2,0.5,100,2046437314708540000,1
100,1,181,0.2,0.5,100,1.20866102733809e+27,1
100,1,182,0.2,0.5,100,1.52282181092419e+26,1
100,1,183,0.2,0.5,100,2.2356341797426e+22,1
100,1,184,0.2,0.5,100,2.53392423265867e+30,1
100,1,185,0.2,0.5,100,4.38664102598141e+28,1
100,1,186,0.2,0.5,100,13013787982841900000,1
100,1,187,0.2,0.5,100,8.09836557631579e+30,1
100,1,188,0.2,0.5,100,2.06386166297548e+27,1
100,1,189,0.2,0.5,100,7.60427442172279e+27,1
100,1,190,0.2,0.5,100,5.08211179020792e+27,1
100,1,191,0.2,0.5,100,4.00660417463086e+32,1
100,1,192,0.2,0.5,100,1.5944774346454e+35,1
100,1,193,0.2,0.5,100,1.97202304707683e+31,1
100,1,194,0.2,0.5,100,6.63588236889046e+25,1
100,1,195,0.2,0.5,100,39067847468179500,1
100,1,196,0.2,0.5,100,3.72524438683746e+20,1
100,1,197,0.2,0.5,100,6.91208211715645e+21,1
100,1,198,0.2,0.5,100,1.93925527351495e+28,1
100,1,199,0.2,0.5,100,5.60412786794377e+23,1
100,1,200,0.2,0.5,100,6.45136676415205e+40,1
100,1,1,0.3,0.5,100,4516031897575240000,1
100,1,2,0.3,0.5,100,331893279849305,1
100,1,3,0.3,0.5,100,6610492495838050000,1
100,1,4,0.3,0.5,100,966214457124843000,1
100,1,5,0.3,0.5,100,5.39414668559905e+20,1
100,1,6,0.3,0.5,100,5291856.79815734,1
100,1,7,0.3,0.5,100,7961816154514600000,1
100,1,8,0.3,0.5,100,178312673014.796,1
100,1,9,0.3,0.5,100,1509338121199930,1
100,1,10,0.3,0.5,100,25263570278473.8,1
100,1,11,0.3,0.5,100,19287247557192000,1
100,1,12,0.3,0.5,100,24033452625220400,1
100,1,13,0.3,0.5,100,291682766476204000,1
100,1,14,0.3,0.5,100,39951350415661.5,1
100,1,15,0.3,0.5,100,38067793559513900,1
100,1,16,0.3,0.5,100,9789835456434080,1
100,1,17,0.3,0.5,100,861527548702.758,1
100,1,18,0.3,0.5,100,29204897078.8146,1
100,1,19,0.3,0.5,100,1073746933957400000,1
100,1,20,0.3,0.5,100,2745512415034350000,1
100,1,21,0.3,0.5,100,137880904659184,1
100,1,22,0.3,0.5,100,75207699425351400,1
100,1,23,0.3,0.5,100,542891837072755,1
